date,close
20180910,2.466
20180911,2.449
20180912,2.432
20180913,2.466
20180914,2.475
20180917,2.452
20180918,2.513
20180919,2.538
20180920,2.541
20180921,2.632
20180925,2.6
20180926,2.638
20180927,2.628
20180928,2.659
20181008,2.533
20181009,2.545
20181010,2.545
20181011,2.439
20181012,2.494
20181015,2.463
20181016,2.467
20181017,2.477
20181018,2.419
20181019,2.491
20181022,2.599
20181023,2.511
20181024,2.525
20181025,2.531
20181026,2.516
20181029,2.431
20181030,2.463
20181031,2.496
20181101,2.507
20181102,2.594
20181105,2.558
20181106,2.546
20181107,2.528
20181108,2.537
20181109,2.48
20181112,2.49
20181113,2.509
20181114,2.475
20181115,2.505
20181116,2.507
20181119,2.54
20181120,2.498
20181121,2.497
20181122,2.483
20181123,2.442
20181126,2.45
20181127,2.439
20181128,2.466
20181129,2.453
20181130,2.474
20181203,2.482
20181204,2.49
20181205,2.479
20181206,2.433
20181207,2.425
20181210,2.408
20181211,2.413
20181212,2.419
20181213,2.453
20181214,2.423
20181217,2.42
20181218,2.391
20181219,2.365
20181220,2.331
20181221,2.302
20181224,2.304
20181225,2.292
20181226,2.275
20181227,2.275
20181228,2.286
20190102,2.255
20190103,2.261
20190104,2.31
20190107,2.307
20190108,2.3
20190109,2.325
20190110,2.328
20190111,2.347
20190114,2.325
20190115,2.37
20190116,2.374
20190117,2.365
20190118,2.409
20190121,2.424
20190122,2.396
20190123,2.392
20190124,2.403
20190125,2.433
20190128,2.43
20190129,2.448
20190130,2.437
20190131,2.474
20190201,2.492
20190211,2.516
20190212,2.524
20190213,2.571
20190214,2.567
20190215,2.511
20190218,2.571
20190219,2.567
20190220,2.577
20190221,2.566
20190222,2.618
20190225,2.816
20190226,2.728
20190227,2.736
20190228,2.736
20190301,2.802
20190304,2.815
20190305,2.813
20190306,2.82
20190307,2.773
20190308,2.675
20190311,2.69
20190312,2.701
20190313,2.706
20190314,2.71
20190315,2.74
20190318,2.812
20190319,2.79
20190320,2.794
20190321,2.784
20190322,2.777
20190325,2.702
20190326,2.692
20190327,2.723
20190328,2.718
20190329,2.819
20190401,2.874
20190402,2.872
20190403,2.901
20190404,2.939
20190408,2.943
20190409,2.949
20190410,2.964
20190411,2.912
20190412,2.906
20190415,2.906
20190416,3.008
20190417,2.997
20190418,2.987
20190419,3.024
20190422,2.958
20190423,2.963
20190424,2.958
20190425,2.913
20190426,2.88
20190429,2.921
20190430,2.928
20190506,2.787
20190507,2.79
20190508,2.745
20190509,2.686
20190510,2.777
20190513,2.725
20190514,2.708
20190515,2.765
20190516,2.774
20190517,2.723
20190520,2.699
20190521,2.722
20190522,2.709
20190523,2.677
20190524,2.691
20190527,2.714
20190528,2.733
20190529,2.748
20190530,2.737
20190531,2.728
20190603,2.74
20190604,2.722
20190605,2.718
20190606,2.704
20190610,2.739
20190611,2.814
20190612,2.802
20190613,2.796
20190614,2.79
20190617,2.799
20190618,2.81
20190619,2.856
20190620,2.954
20190621,2.953
20190624,2.959
20190625,2.919
20190626,2.916
20190627,2.955
20190628,2.952
20190701,3.02
20190702,3.016
20190703,2.987
20190704,2.976
20190705,2.987
20190708,2.924
20190709,2.914
20190710,2.912
20190711,2.922
20190712,2.943
20190715,2.942
20190716,2.925
20190717,2.916
20190718,2.905
20190719,2.94
20190722,2.922
20190723,2.923
20190724,2.952
20190725,2.977
20190726,2.982
20190729,2.978
20190730,2.988
20190731,2.96
20190801,2.935
20190802,2.89
20190805,2.835
20190806,2.805
20190807,2.791
20190808,2.831
20190809,2.82
20190812,2.869
20190813,2.84
20190814,2.849
20190815,2.858
20190816,2.87
20190819,2.927
20190820,2.921
20190821,2.919
20190822,2.923
20190823,2.963
20190826,2.914
20190827,2.934
20190828,2.912
20190829,2.901
20190830,2.916
20190902,2.94
20190903,2.939
20190904,2.973
20190905,3.004
20190906,3.037
20190909,3.032
20190910,3.021
20190911,3.007
20190912,3.047
20190916,3.034
20190917,2.987
20190918,3.003
20190919,3.007
20190920,3.013
20190923,2.981
20190924,2.987
20190925,2.977
20190926,2.978
20190927,2.978
20190930,2.945
20191008,2.968
20191009,2.971
20191010,2.987
20191011,3.032
20191014,3.061
20191015,3.062
20191016,3.051
20191017,3.059
20191018,3.014
20191021,3.016
20191022,3.019
20191023,3
20191024,3.008
20191025,3.014
20191028,3.028
20191029,3.016
20191030,2.999
20191031,3.003
20191101,3.052
20191104,3.069
20191105,3.086
20191106,3.079
20191107,3.079
20191108,3.06
20191111,3.013
20191112,3.017
20191113,3.015
20191114,3.013
20191115,3.003
20191118,3.027
20191119,3.046
20191120,3.013
20191121,2.995
20191122,2.967
20191125,2.994
20191126,2.993
20191127,2.988
20191128,2.978
20191129,2.938
20191202,2.897
20191203,2.907
20191204,2.901
20191205,2.919
20191206,2.936
20191209,2.931
20191210,2.933
20191211,2.947
20191212,2.937
20191213,3
20191216,2.993
20191217,3.025
20191218,3.017
20191219,3.01
20191220,3.005
20191223,2.979
20191224,2.988
20191225,2.98
20191226,3.002
20191227,3.009
20191230,3.051
20191231,3.058
20200102,3.081
20200103,3.068
20200106,3.05
20200107,3.062
20200108,3.033
20200109,3.057
20200110,3.061
20200113,3.08
20200114,3.076
20200115,3.046
20200116,3.036
20200117,3.042
20200120,3.058
20200121,3.007
20200122,3.006
20200123,2.925
20200203,2.707
20200204,2.785
20200205,2.801
20200206,2.842
20200207,2.841
20200210,2.839
20200211,2.87
20200212,2.883
20200213,2.869
20200214,2.885
20200217,2.939
20200218,2.913
20200219,2.913
20200220,2.967
20200221,2.958
20200224,2.924
20200225,2.899
20200226,2.894
20200227,2.898
20200228,2.814
20200302,2.899
20200303,2.907
20200304,2.939
20200305,3.004
20200306,2.951
20200309,2.861
20200310,2.911
20200311,2.874
20200312,2.836
20200313,2.796
20200316,2.687
20200317,2.675
20200318,2.618
20200319,2.564
20200320,2.624
20200323,2.553
20200324,2.627
20200325,2.687
20200326,2.677
20200327,2.692
20200330,2.68
20200331,2.675
20200401,2.671
20200402,2.706
20200403,2.694
20200407,2.743
20200408,2.73
20200409,2.739
20200410,2.738
20200413,2.726
20200414,2.771
20200415,2.751
20200416,2.753
20200417,2.793
20200420,2.803
20200421,2.771
20200422,2.79
20200423,2.787
20200424,2.765
20200427,2.79
20200428,2.81
20200429,2.829
20200430,2.852
20200506,2.848
20200507,2.843
20200508,2.863
20200511,2.863
20200512,2.86
20200513,2.86
20200514,2.831
20200515,2.812
20200518,2.833
20200519,2.852
20200520,2.849
20200521,2.838
20200522,2.768
20200525,2.78
20200526,2.802
20200527,2.792
20200528,2.801
20200529,2.802
20200601,2.864
20200602,2.879
20200603,2.884
20200604,2.878
20200605,2.892
20200608,2.905
20200609,2.923
20200610,2.908
20200611,2.878
20200612,2.891
20200615,2.847
20200616,2.877
20200617,2.881
20200618,2.895
20200619,2.927
20200622,2.924
20200623,2.93
20200624,2.958
20200629,2.937
20200630,2.956
20200701,3.027
20200702,3.103
20200703,3.187
20200706,3.469
20200707,3.402
20200708,3.447
20200709,3.459
20200710,3.373
20200713,3.416
20200714,3.38
20200715,3.35
20200716,3.206
20200717,3.229
20200720,3.331
20200721,3.329
20200722,3.334
20200723,3.331
20200724,3.2
20200727,3.211
20200728,3.231
20200729,3.291
20200730,3.277
20200731,3.295
20200803,3.328
20200804,3.359
20200805,3.336
20200806,3.338
20200807,3.308
20200810,3.333
20200811,3.307
20200812,3.297
20200813,3.286
20200814,3.343
20200817,3.418
20200818,3.413
20200819,3.351
20200820,3.312
20200821,3.336
20200824,3.346
20200825,3.359
20200826,3.323
20200827,3.342
20200828,3.424
20200831,3.395
20200901,3.404
20200902,3.395
20200903,3.387
20200904,3.356
20200907,3.301
20200908,3.336
20200909,3.285
20200910,3.296
20200911,3.313
20200914,3.341
20200915,3.367
20200916,3.346
20200917,3.314
20200918,3.406
20200921,3.362
20200922,3.322
20200923,3.325
20200924,3.271
20200925,3.282
20200928,3.302
20200929,3.295
20200930,3.281
20201009,3.337
20201012,3.442
20201013,3.437
20201014,3.424
20201015,3.425
20201016,3.432
20201019,3.409
20201020,3.412
20201021,3.433
20201022,3.42
20201023,3.408
20201026,3.354
20201027,3.346
20201028,3.364
20201029,3.383
20201030,3.329
20201102,3.317
20201103,3.355
20201104,3.38
20201105,3.418
20201106,3.408
20201109,3.468
20201110,3.466
20201111,3.464
20201112,3.447
20201113,3.388
20201116,3.429
20201117,3.43
20201118,3.435
20201119,3.46
20201120,3.465
20201123,3.521
20201124,3.493
20201125,3.468
20201126,3.497
20201127,3.557
20201130,3.473
20201201,3.557
20201202,3.545
20201203,3.538
20201204,3.543
20201207,3.511
20201208,3.499
20201209,3.47
20201210,3.456
20201211,3.429
20201214,3.461
20201215,3.464
20201216,3.482
20201217,3.537
20201218,3.505
