,trade_date,trade_date_int,settle_1,settle_2,v1,v2,v2-v1,mean,std,v2-v1-mean,K,wind_id_1,wind_id_2,contract_multiplier_1,contract_multiplier_2,end_date_1,end_date_2
273,2017-10-31,20171031,0.0308,0.055,0.10224798321723938,0.11122313141822815,0.00897514820098877,0.01724507212638855,0.005564696940472738,-0.00826992392539978,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
274,2017-11-01,20171101,0.0243,0.0492,0.09771111607551575,0.10998240113258362,0.012271285057067871,0.016844135522842408,0.005622338216032466,-0.004572850465774537,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
275,2017-11-02,20171102,0.0259,0.0499,0.09719213843345642,0.10684898495674133,0.009656846523284912,0.016471093893051146,0.005846286041972461,-0.006814247369766234,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
276,2017-11-03,20171103,0.0254,0.0511,0.090097576379776,0.10587218403816223,0.01577460765838623,0.016405472159385683,0.005846374160038278,-0.0006308645009994521,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
277,2017-11-06,20171106,0.0219,0.0458,0.10134389996528625,0.10692593455314636,0.005582034587860107,0.016145843267440795,0.00621337183597489,-0.010563808679580688,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
278,2017-11-07,20171107,0.0145,0.0373,0.10342589020729065,0.1064557135105133,0.0030298233032226562,0.015199404954910279,0.006703655140423979,-0.012169581651687623,2.9,10001023.SH,10001007.SH,10000.0,10000.0,20171122,20171227
279,2017-11-08,20171108,0.0126,0.0375,0.09987589716911316,0.10925343632698059,0.009377539157867432,0.014460045099258422,0.00647434104927071,-0.0050825059413909905,2.9,10001023.SH,10001007.SH,10000.0,10000.0,20171122,20171227
280,2017-11-09,20171109,0.0155,0.0403,0.09805867075920105,0.10503444075584412,0.006975769996643066,0.013596421480178833,0.006248003475443754,-0.006620651483535767,2.9,10001023.SH,10001007.SH,10000.0,10000.0,20171122,20171227
281,2017-11-10,20171110,0.0321,0.06,0.09810903668403625,0.11098787188529968,0.012878835201263428,0.01327415406703949,0.006101526763922382,-0.00039531886577606236,2.9,10001023.SH,10001007.SH,10000.0,10000.0,20171122,20171227
282,2017-11-13,20171113,0.0121,0.0411,0.11287716031074524,0.118509441614151,0.005632281303405762,0.01287880539894104,0.006335139585498893,-0.007246524095535278,2.95,10001035.SH,10001037.SH,10000.0,10000.0,20171122,20171227
283,2017-11-14,20171114,0.0276,0.0588,0.11446699500083923,0.12136366963386536,0.006896674633026123,0.012230402231216431,0.0062455035564434195,-0.005333727598190308,2.9,10001023.SH,10001007.SH,10000.0,10000.0,20171122,20171227
284,2017-11-15,20171115,0.0172,0.0508,0.10062786936759949,0.1195463240146637,0.01891845464706421,0.012688180804252625,0.00638901256368298,0.006230273842811584,2.9,10001023.SH,10001007.SH,10000.0,10000.0,20171122,20171227
285,2017-11-16,20171116,0.0078,0.0403,0.09827259182929993,0.11651995778083801,0.018247365951538086,0.01217060089111328,0.005370307649174891,0.006076765060424805,2.95,10001035.SH,10001037.SH,10000.0,10000.0,20171122,20171227
286,2017-11-17,20171117,0.0076,0.0381,0.08308097720146179,0.10071775317192078,0.017636775970458984,0.012170168757438659,0.005369844247106235,0.005466607213020325,3.0,10001043.SH,10001045.SH,10000.0,10000.0,20171122,20171227
287,2017-11-23,20171123,0.0475,0.0725,0.13499978184700012,0.1462756097316742,0.011275827884674072,0.012109777331352234,0.005372924059966485,-0.000833949446678162,3.0,10001045.SH,10001074.SH,10000.0,10000.0,20171227,20180124
288,2017-11-24,20171124,0.053,0.0798,0.15396597981452942,0.1636650264263153,0.009699046611785889,0.011443319916725158,0.004736278889833398,-0.0017442733049392693,3.0,10001045.SH,10001074.SH,10000.0,10000.0,20171227,20180124
289,2017-11-27,20171127,0.0674,0.0933,0.16675767302513123,0.17032691836357117,0.0035692453384399414,0.010758405923843384,0.004839051432160675,-0.007189160585403443,2.95,10001037.SH,10001073.SH,10000.0,10000.0,20171227,20180124
